time,coin,dir,px,sz,ntl,fee,closedPnl
16/07/2024 - 05:09:50,kPEPE,Close Long,0.01138725,3845941,43794.691652249996,15.328135,7073.6993600000005
16/07/2024 - 06:18:49,BTC,Open Long,64686.01786378,2.79784,180981.1282199982,63.343381,-63.343381
16/07/2024 - 06:19:44,BTC,Open Long,64656.5960494,7.75325,501298.7533200106,175.454542,-175.454542
16/07/2024 - 06:21:49,BTC,Close Long,64660.83112648,2.23244,144351.42583999902,50.52299,1906.056914
16/07/2024 - 06:23:05,BTC,Close Long,64659.36143085,2.1945,141894.96866000033,49.663233,1870.439627
16/07/2024 - 11:07:12,ETH,Open Long (Price Improved),3428.5,13.9258,47744.6053,4.77446,-4.77446
16/07/2024 - 11:07:16,ETH,Open Long,3428.5,0.0036,12.3426,0.001234,-0.001234
16/07/2024 - 11:07:33,ETH,Open Long (Price Improved),3428.5,13.4337,46057.44045,4.605742,-4.605742
16/07/2024 - 11:07:36,ETH,Open Long,3428.5,0.0272,93.25519999999999,0.009325,-0.009325
16/07/2024 - 11:07:37,ETH,Open Long,3428.5,8.7501,29999.71785,2.999971,-2.999971
16/07/2024 - 11:07:38,ETH,Open Long,3428.5,0.006,20.571,0.002057,-0.002057
16/07/2024 - 11:07:48,ETH,Open Long,3428.5,0.48,1645.6799999999998,0.164568,-0.164568
16/07/2024 - 11:07:50,ETH,Open Long,3428.5,100,342850,34.285,-34.285
16/07/2024 - 11:07:50,ETH,Open Long,3428.5,0.3989,1367.6286499999999,0.136762,-0.136762
16/07/2024 - 11:07:51,ETH,Open Long,3428.5,28.3394,97161.63290000001,9.716163,-9.716163
16/07/2024 - 11:27:05,BTC,Open Long,63462,1.04516,66327.94392,6.632794,-6.632794
16/07/2024 - 13:10:16,ETH,Close Long,3369.83541354,165.3647,557251.822209418,195.038128,-6059.628828
16/07/2024 - 14:21:16,ETH,Open Long,3364.7533695,15.3376,51607.24128004321,18.062533,-18.062533
16/07/2024 - 14:21:44,ETH,Open Long,3364.8,8.7689,29505.594720000005,10.326956,-10.326956
16/07/2024 - 14:40:32,BTC,Open Long,62988,0.48697,30673.26636,10.735642,-10.735642
16/07/2024 - 15:38:30,BTC,Open Long,63267,0.87768,55528.18056,19.43486,-19.43486
16/07/2024 - 16:10:16,BTC,Close Long,63606,0.48697,30974.21382,10.840974,-56.51876
16/07/2024 - 20:14:22,ETH,Open Long,3402.2,7.0721,24060.69862,8.421244,-8.421244
16/07/2024 - 21:12:09,BTC,Close Long,64667,0.03324,2149.5310799999997,0.214953,31.934775000000002
16/07/2024 - 21:12:10,BTC,Close Long,64667,0.33,21340.11,2.134011,317.041989
16/07/2024 - 21:12:10,BTC,Close Long,64667,0.02638,1705.91546,0.170591,25.344144999999997
16/07/2024 - 21:12:10,BTC,Close Long,64667,0.1747,11297.3249,1.129731,167.840109
16/07/2024 - 21:12:11,BTC,Close Long,64667,0.11483,7425.71161,0.742571,110.321005
16/07/2024 - 21:12:11,BTC,Close Long,64667,0.05952,3848.9798400000004,0.384897,57.182846999999995
16/07/2024 - 21:12:11,BTC,Close Long,64667,0.06133,3966.02711,0.396602,58.921774
17/07/2024 - 05:47:32,BTC,Open Long,65350,1,65350,19.604999,-19.604999
17/07/2024 - 06:51:54,kPEPE,Open Long,0.012808,234228,2999.992224,0.899997,-0.899997
17/07/2024 - 20:46:03,BTC,Open Long,65054.911918,2.58055,167877.4529499949,50.363231,-50.363231
17/07/2024 - 22:34:29,ETH,Open Long,3403.02123505,31.61,107569.5012399305,32.270842,-32.270842
17/07/2024 - 23:27:10,kPEPE,Open Long,0.011834,633874,7501.264916,2.250378,-2.250378
18/07/2024 - 06:09:29,BTC,Open Long,64426.23802406,2.48206,159909.7883499984,47.972927,-47.972927
18/07/2024 - 08:53:40,WLD,Open Short,2.85615023,15750.5,44985.794197614996,13.495729,-13.495729
18/07/2024 - 12:07:17,WLD,Close Short,2.8428392,15750.5,44776.1388196,13.432839,196.218866
18/07/2024 - 14:51:37,kPEPE,Close Long,0.012203,2382537,29074.099011000002,8.722229,4110.691553
18/07/2024 - 14:52:22,kPEPE,Open Long,0.01219526,10338573,126081.58576398,37.824464,-37.824464
18/07/2024 - 17:57:50,kSHIB,Open Short,0.01742301,1697960,29583.5740596,8.875062,-8.875062
18/07/2024 - 18:49:28,kSHIB,Close Short,0.01734348,1697960,29448.535300800002,8.834556,126.19099300000002
18/07/2024 - 20:04:41,BTC,Close Long,64174.3018703,18.70661,1200483.6371099728,360.145063,1566.670754
