Time,Coin,Direction,Price,Size,Notional,Fee,Closed PnL
24/08/2024 - 17:25:34,ETH,Close Long,2760,0.01,27.6,0,-0.1954
24/08/2024 - 17:25:35,ETH,Close Long,2760,0.03,82.8,0,-0.5862
24/08/2024 - 17:25:35,ETH,Close Long,2760,27.7934,76709.784,0,-543.083036
24/08/2024 - 17:25:35,ETH,Close Long,2760,5.1644,14253.743999999999,0,-100.912376
24/08/2024 - 17:25:35,ETH,Close Long,2760,6.6084,18239.183999999997,0,-129.128136
24/08/2024 - 17:25:35,ETH,Close Long,2760,8.7005,24013.38,0,-170.00777
24/08/2024 - 17:25:35,ETH,Close Long,2760,3.284,9063.84,0,-64.16936
24/08/2024 - 17:25:35,ETH,Close Long,2760,0.01,27.6,0,-0.1954
24/08/2024 - 17:25:36,ETH,Close Long,2760,9.7305,26856.179999999997,0,-190.13397
24/08/2024 - 17:25:36,ETH,Close Long,2760,1.3024,3594.624,0,-25.448896
24/08/2024 - 17:25:36,ETH,Close Long,2760,0.01,27.6,0,-0.1954
24/08/2024 - 17:25:36,ETH,Close Long,2760,0.05,138,0,-0.977
24/08/2024 - 17:25:37,ETH,Close Long,2760,1.3024,3594.624,0,-25.448896
24/08/2024 - 17:25:37,ETH,Close Long,2760,0.01,27.6,0,-0.1954
24/08/2024 - 17:25:37,ETH,Close Long,2760,1.6,4416,0,-31.264
24/08/2024 - 17:25:38,ETH,Close Long,2760,0.02,55.2,0,-0.3908
24/08/2024 - 17:25:38,ETH,Close Long,2760,0.05,138,0,-0.977
24/08/2024 - 17:25:38,ETH,Close Long,2760,0.01,27.6,0,-0.1954
24/08/2024 - 17:25:38,ETH,Close Long,2760,41.8827,115596.252,0,-818.387958
24/08/2024 - 17:25:39,ETH,Close Long,2760,0.0064,17.664,0,-0.125056
24/08/2024 - 17:25:39,ETH,Close Long,2760,12.978,35819.28,0,-253.59012
24/08/2024 - 17:25:39,ETH,Close Long,2760,0.3825,1055.7,0,-7.47405
24/08/2024 - 17:25:39,ETH,Close Long,2760,7.478,20639.28,0,-146.12012
24/08/2024 - 17:25:39,ETH,Close Long,2760,0.01,27.6,0,-0.1954
24/08/2024 - 17:25:39,ETH,Close Long,2760,11.2202,30967.752,0,-219.242708
24/08/2024 - 17:25:39,ETH,Close Long,2760,5.3857,14864.532,0,-105.236578
24/08/2024 - 17:25:39,ETH,Close Long,2760,1.3124,3622.224,0,-25.644296
24/08/2024 - 17:25:40,ETH,Close Long,2760,19.8153,54690.228,0,-387.190962
24/08/2024 - 17:25:40,ETH,Close Long,2760,352.1861,972033.636,0,-6881.716394
24/08/2024 - 17:25:40,ETH,Close Long,2760,66.4723,183463.548,0,-1298.868742
27/08/2024 - 02:14:11,ETH,Close Long,2688,43.746,117589.248,29.397307,307.446893
28/08/2024 - 05:29:40,ETH,Close Long,2455.6,1,2455.6,0,-71.1
28/08/2024 - 05:29:42,ETH,Close Long,2455.5,20.873,51253.6515,12.813411,-1498.971011
03/09/2024 - 07:58:48,ETH,Close Long,2536.3,1.2916,3275.8850800000005,0,-17.397852
03/09/2024 - 07:58:48,ETH,Close Long,2536.3,0.0236,59.856680000000004,0,-0.317892
03/09/2024 - 07:58:50,ETH,Close Long,2536.3,0.0977,247.79651,0,-1.316019
03/09/2024 - 08:00:38,ETH,Close Long,2536.3,19.3394,49050.520220000006,0,-260.501718
03/09/2024 - 08:00:39,ETH,Close Long,2536.3,14.3593,36419.49259,0,-193.419771
03/09/2024 - 08:00:39,ETH,Close Long,2536.3,14.3538,36405.54294,0,-193.345686
03/09/2024 - 08:00:41,ETH,Close Long,2536.3,52.1855,132358.08365000002,0,-702.938685
03/09/2024 - 08:00:41,ETH,Close Long,2536.3,23.541,59707.03830000001,0,-317.09727
